date,meter_location_en,equipment_name_en,shift_label,interval_energy_kwh,energy_day_kwh,energy_night_kwh
2021-02-02,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,Day,0.3636089999998905,0.3636089999998905,0.0
2021-02-02,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,Night,0.2905210000003118,0.0,0.2905210000003118
2021-02-02,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Day,23.252444999996282,23.252444999996282,0.0
2021-02-02,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Night,17.618097000000642,0.0,17.618097000000642
2021-02-03,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,Day,0.12110399999985588,0.12110399999985588,0.0
2021-02-03,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,Night,0.3720999999999993,0.0,0.3720999999999993
2021-02-03,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Day,15.911322999998696,15.911322999998696,0.0
2021-02-03,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Night,17.95016400000371,0.0,17.95016400000371
2021-02-04,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,Day,0.18576099999986911,0.18576099999986911,0.0
2021-02-04,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,Night,0.1324959999998609,0.0,0.1324959999998609
2021-02-04,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Day,26.389925999995157,26.389925999995157,0.0
2021-02-04,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Night,16.943745999998722,0.0,16.943745999998722
2021-02-05,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,Day,0.0,0.0,0.0
2021-02-05,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,Night,0.0,0.0,0.0
2021-02-05,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Day,0.7380250000000647,0.7380250000000647,0.0
2021-02-05,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Night,10.123383000004967,0.0,10.123383000004967
2021-02-08,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,Day,0.7464959999999584,0.7464959999999584,0.0
2021-02-08,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,Night,0.3214889999997303,0.0,0.3214889999997303
2021-02-08,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Day,14.918057999994087,14.918057999994087,0.0
