date,meter_location_en,equipment_name_en,period_std,interval_energy_kwh
2021-02-11,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Off-peak,11.854837000003169
2021-02-11,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Peak,2.289754000000931
2021-02-12,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,Peak,1.037793999999736
2021-02-12,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Normal,25.538098999995658
2021-02-12,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Off-peak,10.20672500000218
2021-02-12,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Peak,2.615444000000327
2021-02-13,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,Peak,0.5382160000000289
2021-02-13,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Normal,28.564526000004925
2021-02-13,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Off-peak,10.387633000003719
2021-02-13,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Peak,1.8102599999988906
2021-02-14,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,Peak,0.0
2021-02-14,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Normal,42.07585499999194
2021-02-14,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Off-peak,10.802138000000728
2021-02-14,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Peak,0.0
2021-02-15,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,Peak,1.299491999999609
2021-02-15,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Normal,25.17610099999743
2021-02-15,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Off-peak,12.023161000007708
2021-02-15,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Peak,2.431858000000476
2021-02-16,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,Peak,0.6366410000000107
2021-02-16,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Normal,24.839080000004515
2021-02-16,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Off-peak,11.055770000001308
2021-02-16,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Peak,2.0122399999987746
2021-02-17,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,Peak,0.56012900000014
2021-02-17,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Normal,27.840728999990564
2021-02-17,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Off-peak,11.50378099999473
2021-02-17,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Peak,2.1562280000029745
