date,meter_location_en,equipment_name_en,energy_kwh
2021-04-12,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,0.29366599999968906
2021-04-12,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,38.886529000006895
2021-04-14,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,0.33024499999987583
2021-04-14,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,38.28629799999997
2021-04-15,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,0.8169459999999844
2021-04-15,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,41.12538500000689
2021-04-16,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,1.4087450000005437
2021-04-16,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,42.95932599999665
2021-04-17,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,0.3702919999995418
2021-04-17,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,42.56679400001895
2021-04-18,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,0.0
2021-04-18,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,61.516386000004374
2021-04-19,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,0.006560999999963663
2021-04-19,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,47.00773600001384
2021-04-20,Electrical panel mặt trời,NLX Kim Tin 05-VP,0.06583347579999979
2021-04-20,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,1.4383399999994106
2021-04-20,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,42.77782700001147
2021-04-21,Electrical panel mặt trời,NLX Kim Tin 05-VP,0.09599463630000009
2021-04-21,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,1.0441040000001047
2021-04-21,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,44.378820999989095
2021-04-22,Electrical panel mặt trời,NLX Kim Tin 05-VP,0.1161853136999999
2021-04-22,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,1.1964999999992367
2021-04-22,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,47.485886999999536
2021-04-23,Electrical panel mặt trời,NLX Kim Tin 05-VP,0.14765586429999783
2021-04-23,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,1.7547140000006323
2021-04-23,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,49.24896600000423
2021-04-24,Electrical panel mặt trời,NLX Kim Tin 05-VP,0.18589010440000137
2021-04-24,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,0.8312850000011462
2021-04-24,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,53.02956299998528
2021-04-25,Electrical panel mặt trời,NLX Kim Tin 05-VP,0.3627780782000021
2021-04-25,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,0.0
2021-04-25,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,73.83245800000796
2021-04-26,Electrical panel mặt trời,NLX Kim Tin 05-VP,0.1942286737999991
2021-04-26,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,1.048391999998344
2021-04-26,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,53.085401000004566
2021-04-27,Electrical panel mặt trời,NLX Kim Tin 05-VP,0.15530376939999876
2021-04-27,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,0.3203560000000752
2021-04-27,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,34.53001100000897
2021-04-28,Electrical panel mặt trời,NLX Kim Tin 05-VP,0.13233067849999947
2021-04-28,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,0.7115299999998539
2021-04-28,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,45.73492600000349
2021-04-29,Electrical panel mặt trời,NLX Kim Tin 05-VP,0.1834603366000023
2021-04-29,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,1.1997849999996917
2021-04-29,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,48.69151099999017
